"gene","cluster_1","cluster_2","cluster_3","cluster_4"
"ndrg2",0.0323773862872754,0.0125589956289738,0.0517449388639834,0.00254106430256538
"arhgef40",0.00444555491738834,0.000580019651576313,0.20953753273982,0.00272040096982871
"zfp219",0.0105986907752863,0.0414382774323861,0.0352723603383685,0.0333298705980277
"hnrnpc",1.0354074418391,0.764957668966759,0.994081365440654,0.905635533971879
"rpgrip1",0.117128047654781,0.122024177671268,0.0855496994044935,1.12541439054703
"supt16",0.292952986097499,0.202792983226199,0.20424018424579,0.263525824236326
"gm26590",0.00130608595043064,0.00160421072598534,0.0016605420823284,0.0127602857824069
"chd8",0.209754631111779,0.180428898098987,0.153956491924311,0.19022640014974
"rab2b",0.0525754312800101,0.029085748509504,0.0362052971421142,0.0275561149613123
"tox4",0.264048426343992,0.210382129737404,0.191263942277315,0.309996060868803
"mettl3",0.109185372020511,0.119484912957259,0.0500189204418856,0.13376697668121
"sall2",0,0.00120329071332264,0,0
"gm43647",0.00225018446676937,0.0498821363216606,0,0
"dad1",1.58453593512977,1.65786111223675,0.774693943390532,1.73710913562214
"abhd4",0.0551891082343265,0.0435306963794644,0.15169785543565,0.077673691341386
"oxa1l",0.364865748067472,0.256415378442621,0.198191651153898,0.346019546947536
"slc7a7",0.0100201255837953,0.0126321165848454,0.0395037385016678,0.0575766877214054
"mrpl52",1.14519561353048,1.00736260935152,0.808876383349943,1.43366574795828
"mmp14",0.00313855163139484,0.0103341513477605,0.0289420208200595,0.0479195961464741
"lrp10",0.730540222777758,0.52422269235844,0.249515846080331,0.629505622835795
"rem2",0.0220584318750923,0.0217427122548842,0.00797833434114244,0.00513315796680739
"prmt5",0.15846851253538,0.167386738695767,0.0272166820259158,0.117582187807998
"haus4",0.147065095620282,0.176678516709107,0.0616971574331867,0.0643530980810866
"ajuba",0.00261612169201602,0.00140616853262494,0.00121896235975744,0.00487273544088528
"x4931414p19rik",0.0203836078360089,0.0118700074733665,0.0104731913306362,0.0367364110691862
"psmb5",1.17841081288446,0.981715968260836,0.866713006386678,1.13872587582807
"acin1",0.538533426051676,0.46184757550045,0.343511201937812,0.562347303777423
"x1700123o20rik",0.370667051898332,0.417418917390793,0.264594651103092,0.378211769966926
"cebpe",0,0.00256371784870175,0.000765349714479332,0.00130157506921964
"slc7a8",0.00370116266080903,0.0105602788119363,0.00558713497442313,0.00770992974383895
"homez",0.0353086974678604,0.0279215657896742,0.0306348396231036,0.0240624590893804
"ppp1r3e",0.00209129321724592,0.00425698506165814,0.00981580906372338,0.0117613761851005
"bcl2l2",0.013353241264115,0.0199363418039645,0.046237368185215,0.0275804475158347
"pabpn1",0.146564080669167,0.198910285112085,0.214798612028901,0.136851677195116
"slc22a17",0,0,0,0.00282755148936452
"ngdn",0.429192223641303,0.422279794178238,0.322499602457774,0.51984203375159
"thtpa",0.052476567108947,0.0413898703614273,0.0139502327469714,0.0452892577897815
"zfhx2",0.0333386999363256,0.0529743362009223,0.0128702775849536,0.0106569196060912
"ap1g2",0.151522713385623,0.112504614985713,0.229244520018485,0.111907798157789
"dhrs4",0.130762570986749,0.0763722595042893,0.161449764223063,0.153890065326256
"pck2",0.0669392166518424,0.0477981769938038,0.029079776378548,0.0786849389622321
"dcaf11",0.280026090826326,0.210826996031167,0.270688186958789,0.312849895373966
"fitm1",0,0.000358589876381508,0,0.00284925243555702
"psme1",1.81588241544909,1.78418729333647,2.59053506589322,2.19437442584963
"emc9",0.0863896762301965,0.0484425051518836,0.0614019536584021,0.145631747505437
"psme2",1.97656205170076,1.58503725259258,3.05172745007953,1.90353732827599
"rnf31",0.0962272231627137,0.0676515701408149,0.139725780735095,0.0784801721639715
"irf9",0.334030769901597,0.256114040225084,0.368691672352948,0.381230262525531
