order,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
341,2.73E-55,0.356161935,0.996,0.96,3.81E-51,1,Arhgdib
342,2.06E-54,0.393067342,0.94,0.784,2.89E-50,1,Vasp
343,2.07E-54,-0.592769269,0.229,0.538,2.89E-50,1,Asah1
344,2.35E-54,0.479171675,0.909,0.648,3.29E-50,1,Id2
345,6.59E-54,-0.589770598,0.701,0.772,9.21E-50,1,Erp29
346,8.20E-54,0.294334237,0.495,0.21,1.15E-49,1,Hscb
347,9.53E-54,0.399676794,0.854,0.6,1.33E-49,1,Leprotl1
348,1.14E-53,-0.746619401,0.102,0.434,1.60E-49,1,Blvrb
349,1.29E-53,0.371554636,0.963,0.874,1.80E-49,1,Abracl
350,1.30E-53,-1.006525943,0.04,0.376,1.82E-49,1,Fcgr4
351,1.46E-53,-0.478631119,0.04,0.375,2.05E-49,1,Lmo2
352,1.49E-53,-1.075872139,0.734,0.794,2.09E-49,1,Cstb
353,2.07E-53,-0.668407634,0.403,0.645,2.90E-49,1,Evi2a
354,2.90E-53,0.341244332,0.536,0.248,4.05E-49,1,Ciapin1
355,6.89E-53,0.278540039,0.998,0.995,9.64E-49,1,Rpl35
356,7.48E-53,-0.498046496,0.023,0.352,1.05E-48,1,P2ry6
357,8.13E-53,-0.636574633,0.189,0.501,1.14E-48,1,Gsn
358,8.41E-53,0.425732155,0.861,0.635,1.18E-48,1,Mrps16
359,1.57E-52,0.372141327,0.896,0.654,2.19E-48,1,Hmgb2
360,1.71E-52,-0.529444831,0.075,0.403,2.39E-48,1,Fgr
361,2.17E-52,0.259407962,1,0.99,3.04E-48,1,Rpl5
362,2.37E-52,0.395634572,0.927,0.793,3.32E-48,1,S100a13
363,2.51E-52,0.268904123,1,0.994,3.52E-48,1,Rpl22
364,2.59E-52,-0.544526389,0.965,0.959,3.62E-48,1,Tspo
365,6.74E-52,-0.608903872,0.031,0.36,9.42E-48,1,Nupr1
366,8.04E-52,0.398402241,0.94,0.748,1.12E-47,1,Ctsd
